name,bounds,n,m,success,status,iter,f,tsec,msg
BROYDNBDLS,False,10,0,True,0,11,7.957487e-18,0.15341837400001168,Optimal Solution Found.
BRYBND,False,5000,0,True,0,11,4.279822e-21,0.5100207339999088,Optimal Solution Found.
CAMEL6,True,2,0,True,0,10,-1.031628,0.15732445699995878,Optimal Solution Found.
CHAINWOO,False,4000,0,True,0,187,79.33124,0.9410443740000574,Optimal Solution Found.
CHEBYQAD,True,100,0,True,0,273,0.004877696,3.672620919999872,Optimal Solution Found.
CHENHARK,True,5000,0,True,0,19,-2.000002,0.31367445099999713,Optimal Solution Found.
CHNROSNB,False,50,0,True,0,42,1.539369e-22,0.1625936789998832,Optimal Solution Found.
CHNRSNBM,False,50,0,True,0,52,8.488299e-16,0.16089893100001973,Optimal Solution Found.
CHWIRUT1LS,False,3,0,True,0,6,2384.477,0.15799610499993832,Optimal Solution Found.
CHWIRUT2LS,False,3,0,True,0,6,513.048,0.15527630600013254,Optimal Solution Found.
CLIFF,False,2,0,True,0,23,0.207238,0.1517597490001208,Optimal Solution Found.
CRAGGLVY,False,5000,0,True,0,14,1688.215,0.3981275310000001,Optimal Solution Found.
CUBE,False,2,0,True,0,27,1.753568e-24,0.15565486399987094,Optimal Solution Found.
DANWOODLS,False,2,0,True,0,11,0.004317308,0.1550642219999645,Optimal Solution Found.
DECONVB,True,63,0,False,-1,3000,6.952463e-10,1.877736939999977,Maximum Number of Iterations Exceeded.
DECONVU,True,63,0,True,0,182,4.362019e-11,0.24544108100008089,Optimal Solution Found.
DENSCHNA,False,2,0,True,0,6,1.102837e-23,0.1557534180001312,Optimal Solution Found.
DENSCHNB,False,2,0,True,0,7,9.860761e-32,0.15511774999981753,Optimal Solution Found.
DENSCHNC,False,2,0,True,0,10,2.177679e-20,0.15987008199999764,Optimal Solution Found.
DENSCHND,False,3,0,True,0,26,0.0002221899,0.16386110000007648,Optimal Solution Found.
DENSCHNE,False,3,0,True,0,14,1.860553e-17,0.15723657300009108,Optimal Solution Found.
DENSCHNF,False,2,0,True,0,6,6.513246e-22,0.16181673599999158,Optimal Solution Found.
DIXMAANA,False,3000,0,True,0,7,1.0,0.24919375899980878,Optimal Solution Found.
DIXMAANB,False,3000,0,True,0,11,1.0,0.2564657810000881,Optimal Solution Found.
DIXMAANC,False,3000,0,True,0,9,1.0,0.2516759750001256,Optimal Solution Found.
DIXMAAND,False,3000,0,True,0,9,1.0,0.25217498000006344,Optimal Solution Found.
DIXMAANE,False,3000,0,True,0,10,1.0,0.2563479980001375,Optimal Solution Found.
DIXMAANF,False,3000,0,True,0,19,1.0,0.2771742390000327,Optimal Solution Found.
DIXMAANG,False,3000,0,True,0,16,1.0,0.2758975280000868,Optimal Solution Found.
DIXMAANH,False,3000,0,True,0,19,1.0,0.27382679099991947,Optimal Solution Found.
DIXMAANI,False,3000,0,True,0,18,1.0,0.2710081260001971,Optimal Solution Found.
DIXMAANJ,False,3000,0,True,0,20,1.0,0.28051855199987585,Optimal Solution Found.
DIXMAANK,False,3000,0,True,0,24,1.0,0.2852196809999441,Optimal Solution Found.
DIXMAANL,False,3000,0,True,0,27,1.0,0.29796930199995586,Optimal Solution Found.
DIXMAANM,False,3000,0,True,0,11,1.0,0.25377996199995323,Optimal Solution Found.
DIXMAANN,False,3000,0,True,0,25,1.0,0.2857144750000771,Optimal Solution Found.
DIXMAANO,False,3000,0,True,0,25,1.0,0.2865506330001608,Optimal Solution Found.
DIXMAANP,False,3000,0,True,0,28,1.0,0.2948927239999648,Optimal Solution Found.
DJTL,False,2,0,True,3,1527,-8951.545,0.36727003999999397,Optimal Solution Found.
DQDRTIC,False,5000,0,True,0,1,5.916457e-29,0.29255025300017223,Optimal Solution Found.
DQRTIC,False,5000,0,True,0,23,39.35732,0.23990676499988695,Optimal Solution Found.
DRCAV1LQ,True,4489,0,True,0,94,5.852343e-15,6.444391909999922,Optimal Solution Found.
DRCAV2LQ,True,4489,0,True,0,169,4.727775e-08,10.891198249999889,Optimal Solution Found.
DRCAV3LQ,True,4489,0,True,0,490,1.37134e-06,38.37065927399999,Optimal Solution Found.
ECKERLE4LS,False,3,0,True,0,36,0.001463589,0.16925418800019543,Optimal Solution Found.
EDENSCH,False,2000,0,True,0,12,12003.28,0.24859880600001816,Optimal Solution Found.
EG1,True,3,0,True,0,7,-1.429307,0.16063125100004072,Optimal Solution Found.
EG2,False,1000,0,True,0,4,-998.9474,0.17940914899986637,Optimal Solution Found.
EIGENALS,False,2550,0,False,,,,,Timeout after 360 sec.
EIGENBLS,False,2550,0,False,,,,,Timeout after 360 sec.
EIGENCLS,False,2652,0,False,,,,,Timeout after 360 sec.
ENGVAL1,False,5000,0,True,0,8,5548.668,0.40244641400022374,Optimal Solution Found.
ENGVAL2,False,3,0,True,0,21,1.700242e-20,0.19436574500014103,Optimal Solution Found.
ENSOLS,False,9,0,True,0,7,788.5398,0.23924806800005172,Optimal Solution Found.
ERRINROS,False,50,0,True,0,28,40.40449,0.1787195189999693,Optimal Solution Found.
ERRINRSM,False,50,0,True,0,40,38.51945,0.1800241079999978,Optimal Solution Found.
EXPFIT,False,2,0,True,0,8,0.2405106,0.18261480099999972,Optimal Solution Found.
EXPLIN,True,1200,0,True,0,57,-71925480.0,0.2171598529998846,Optimal Solution Found.
EXPLIN2,True,1200,0,True,0,25,-71998830.0,0.19662558199979685,Optimal Solution Found.
EXPQUAD,True,1200,0,True,0,32,-3684941000.0,0.21517178500016598,Optimal Solution Found.
EXTROSNB,False,1000,0,True,1,2718,1.413033e-09,1.917458233999696,Optimal Solution Found.
FBRAIN2LS,True,4,0,True,0,15,0.3683882,0.6339527229997657,Optimal Solution Found.
FBRAIN3LS,False,6,0,False,-1,3000,0.2419554,28.62465915799976,Maximum Number of Iterations Exceeded.
FBRAINLS,True,2,0,True,0,8,0.4166029,0.3256778340000892,Optimal Solution Found.
FLETBV3M,False,5000,0,True,0,235,-224939.9,1.4499539809999078,Optimal Solution Found.
FLETCBV2,False,5000,0,True,0,1,-0.5002863,0.3340265029996772,Optimal Solution Found.
FLETCBV3,False,5000,0,False,-1,3000,-8243740.0,13.009112246000313,Maximum Number of Iterations Exceeded.
FLETCHBV,False,5000,0,False,-1,3000,-827225400000000.0,12.687063985999885,Maximum Number of Iterations Exceeded.
FLETCHCR,False,1000,0,True,0,1473,5.294468e-20,1.0727475379999305,Optimal Solution Found.
FREUROTH,False,5000,0,True,0,8,608159.2,0.38500865099967996,Optimal Solution Found.
GAUSS1LS,False,8,0,True,0,5,1315.822,0.17222196400007306,Optimal Solution Found.
GAUSS2LS,False,8,0,True,0,5,1247.528,0.17013395999993008,Optimal Solution Found.
GAUSS3LS,False,8,0,True,0,11,1244.485,0.17263860899993233,Optimal Solution Found.
GAUSSIAN,False,3,0,True,0,2,1.127933e-08,0.15426884199996493,Optimal Solution Found.
GBRAINLS,False,2,0,True,0,6,28.51586,0.3206450309999127,Optimal Solution Found.
GENHUMPS,False,5000,0,False,-1,3000,80746890.0,13.65879859000006,Maximum Number of Iterations Exceeded.
GENROSE,False,500,0,True,0,382,1.0,0.35280887399994754,Optimal Solution Found.
GENROSEB,True,500,0,True,0,15,1593.945,0.17382895599985204,Optimal Solution Found.
GROWTHLS,False,3,0,True,0,71,1.004041,0.1657526459998735,Optimal Solution Found.
GULF,False,3,0,True,0,27,5.933775e-22,0.1658836390001852,Optimal Solution Found.
HADAMALS,True,400,0,True,0,162,191.4699,2.73086873200009,Optimal Solution Found.
HAHN1LS,False,7,0,True,0,78,33.38424,0.1893031909999081,Optimal Solution Found.
HAIRY,False,2,0,True,0,52,20.0,0.1637229190000653,Optimal Solution Found.
HARKERP2,True,1000,0,True,0,23,-0.470866,161.22229938600003,Optimal Solution Found.
HART6,True,6,0,True,0,8,-3.322887,0.15711516300007133,Optimal Solution Found.
HATFLDA,True,4,0,True,0,10,7.237037e-16,0.1549118319999252,Optimal Solution Found.
HATFLDB,True,4,0,True,0,10,0.005572812,0.15124935499989078,Optimal Solution Found.
HATFLDC,True,25,0,True,0,5,2.921509e-17,0.15099133299963796,Optimal Solution Found.
HATFLDD,False,3,0,True,0,21,6.615114e-08,0.16137526000011349,Optimal Solution Found.
HATFLDE,False,3,0,True,0,20,5.120377e-07,0.15760874400029934,Optimal Solution Found.
HATFLDFL,False,3,0,True,0,1233,6.016514e-05,0.3552768320000723,Optimal Solution Found.
HEART6LS,False,6,0,True,0,878,9.127834e-23,0.3131854669995846,Optimal Solution Found.
HEART8LS,False,8,0,True,0,106,6.309963e-29,0.1871546769998531,Optimal Solution Found.
HELIX,False,3,0,True,0,13,6.057699e-25,0.15737809599977481,Optimal Solution Found.
HIELOW,False,3,0,True,0,8,874.1654,0.42087676999972246,Optimal Solution Found.
HILBERTA,False,2,0,True,0,1,1.314768e-31,0.14843046900023182,Optimal Solution Found.
HILBERTB,False,10,0,True,0,1,7.067769e-30,0.14989637600001515,Optimal Solution Found.
HIMMELBB,False,2,0,True,0,18,1.401396e-17,0.15492979300006482,Optimal Solution Found.
HIMMELBF,False,4,0,True,0,75,318.5717,0.16499344899966673,Optimal Solution Found.
HIMMELBG,False,2,0,True,0,6,3.633e-22,0.15112004999991768,Optimal Solution Found.
HIMMELBH,False,2,0,True,0,4,-1.0,0.1534367320000456,Optimal Solution Found.
HIMMELP1,True,2,0,True,0,11,-62.05394,0.15818836500011457,Optimal Solution Found.
HOLMES,True,180,0,True,0,12,1248.15,6.494241009999769,Optimal Solution Found.
HS1,True,2,0,True,0,25,5.894626e-16,0.15556981400004588,Optimal Solution Found.
HS110,True,10,0,True,0,6,-45.77848,0.15591881299997112,Optimal Solution Found.
HS2,True,2,0,True,0,11,4.941229,0.1536336549997941,Optimal Solution Found.
HS25,True,3,0,True,0,36,1.034604e-15,0.16719350699986535,Optimal Solution Found.
HS3,True,2,0,True,0,4,-7.494096e-09,0.1442621930000314,Optimal Solution Found.
HS38,True,4,0,True,0,40,2.761247e-19,0.15964313399990715,Optimal Solution Found.
HS3MOD,True,2,0,True,0,5,-7.494096e-09,0.14443746899996768,Optimal Solution Found.
HS4,True,2,0,True,0,5,2.666667,0.14578972900017106,Optimal Solution Found.
HS45,True,5,0,True,0,7,1.0,0.15678163600023254,Optimal Solution Found.
HS5,True,2,0,True,0,8,-1.913223,0.14883978199986814,Optimal Solution Found.
HUMPS,False,2,0,True,0,323,1.879074e-23,0.19961492699985683,Optimal Solution Found.
HYDC20LS,False,99,0,True,0,775,0.07695631,0.5426228020000963,Optimal Solution Found.
INDEF,False,5000,0,True,3,125,-2.777566e+20,0.9639006649999828,Optimal Solution Found.
INTEQNELS,False,12,0,True,0,3,3.994096e-22,0.15389499299999443,Optimal Solution Found.
JENSMP,False,2,0,True,0,9,124.3622,0.15343236899980184,Optimal Solution Found.
JIMACK,False,3549,0,True,0,18,0.8667933,5.3758571999997,Optimal Solution Found.
KIRBY2LS,False,5,0,True,0,11,3.905074,0.16080983899973944,Optimal Solution Found.
KOEBHELB,True,3,0,True,0,345,77.51635,0.2408959379999942,Optimal Solution Found.
KOWOSB,False,4,0,True,0,8,0.0003078009,0.1578533269998843,Optimal Solution Found.
LANCZOS1LS,False,6,0,True,0,169,4.285594e-17,0.18615235400011443,Optimal Solution Found.
LANCZOS2LS,False,6,0,True,0,102,2.229943e-11,0.17275072600023123,Optimal Solution Found.
LANCZOS3LS,False,6,0,True,0,159,1.611719e-08,0.18517633900000874,Optimal Solution Found.
LIARWHD,False,5000,0,True,0,12,6.380775e-22,0.31714140199983376,Optimal Solution Found.
LINVERSE,True,1999,0,True,0,745,681.0,2.255795785000373,Optimal Solution Found.
LOGHAIRY,False,2,0,True,0,2245,0.1823216,0.488792660999934,Optimal Solution Found.
LOGROS,True,2,0,True,0,65,0.0,0.169043180999779,Optimal Solution Found.
LSC1LS,False,3,0,True,0,16,7.711852,0.16058004700016681,Optimal Solution Found.
LSC2LS,False,3,0,True,0,44,13.33415,0.15819510799974523,Optimal Solution Found.
LUKSAN11LS,False,100,0,True,0,333,1.94909e-27,0.21788800700005595,Optimal Solution Found.
LUKSAN12LS,False,98,0,True,0,25,4292.197,0.17140406099997563,Optimal Solution Found.
LUKSAN13LS,False,98,0,True,0,19,25188.86,0.16332655199994406,Optimal Solution Found.
LUKSAN14LS,False,98,0,True,0,11,123.9235,0.1549956320000092,Optimal Solution Found.
LUKSAN15LS,False,100,0,True,0,9,3.569697,0.18362872799980323,Optimal Solution Found.
LUKSAN16LS,False,100,0,True,0,6,3.569697,0.16837149000002682,Optimal Solution Found.
LUKSAN17LS,False,100,0,True,0,16,0.4931613,0.18060534899996128,Optimal Solution Found.
LUKSAN21LS,False,100,0,True,0,11,2.610386e-17,0.1565175310001905,Optimal Solution Found.
LUKSAN22LS,False,100,0,True,0,16,868.9405,0.16528670800016698,Optimal Solution Found.
MANCINO,False,100,0,True,0,18,1.433993e-21,0.5410928569999669,Optimal Solution Found.
MARATOSB,False,2,0,True,0,670,-1.0,0.2554872450000403,Optimal Solution Found.
MAXLIKA,True,8,0,True,0,28,1136.307,0.18917583399979776,Optimal Solution Found.
MCCORMCK,True,5000,0,True,0,7,-4566.581,0.32924881600001754,Optimal Solution Found.
MDHOLE,True,2,0,True,0,43,-2.261664e-09,0.16013255100006063,Optimal Solution Found.
MEXHAT,False,2,0,True,0,26,-0.04001,0.15724547500030894,Optimal Solution Found.
MEYER3,False,3,0,True,0,195,87.94586,0.18798293099962393,Optimal Solution Found.
MGH09LS,False,4,0,True,0,71,0.0003075056,0.16516105299979245,Optimal Solution Found.
MGH10LS,False,3,0,True,0,1724,87.94586,0.4780751590001273,Optimal Solution Found.
MGH17LS,False,5,0,True,0,324,5.464895e-05,0.22008430100004261,Optimal Solution Found.
MINSURF,True,64,0,True,0,4,1.0,0.1534400740001729,Optimal Solution Found.
MISRA1ALS,False,2,0,True,0,40,0.1245514,0.1597107419997883,Optimal Solution Found.
MISRA1BLS,False,2,0,True,0,34,0.07546468,0.15818960800015702,Optimal Solution Found.
MISRA1CLS,False,2,0,True,0,14,0.04096684,0.1570041290001427,Optimal Solution Found.
MISRA1DLS,False,2,0,True,0,30,0.0564193,0.15671578399997088,Optimal Solution Found.
MOREBV,False,5000,0,True,0,1,5.831055e-15,0.27849228200011567,Optimal Solution Found.
MSQRTALS,False,1024,0,True,0,24,4.22372e-16,6.641417390999777,Optimal Solution Found.
MSQRTBLS,False,1024,0,True,0,24,1.365103e-21,6.495766200999697,Optimal Solution Found.
NCB20B,False,5000,0,True,0,16,7351.301,1.2585045710002305,Optimal Solution Found.
NELSONLS,False,3,0,True,3,68,3.797683,0.17376601099977051,Optimal Solution Found.
NONCVXU2,False,5000,0,False,,,,,Timeout after 360 sec.
NONCVXUN,False,5000,0,True,0,2490,11599.76,45.562061730000096,Optimal Solution Found.
NONDIA,False,5000,0,True,0,7,5.226135e-13,0.2791009329998815,Optimal Solution Found.
NONDQUAR,False,5000,0,True,0,19,2.069477e-10,0.2756965199996557,Optimal Solution Found.
NONMSQRT,False,4900,0,False,,,,,Timeout after 360 sec.
NONSCOMP,True,5000,0,True,0,21,1.233203e-05,0.3195808999998917,Optimal Solution Found.
OSBORNEA,False,5,0,True,0,64,5.464895e-05,0.16490284800011068,Optimal Solution Found.
OSBORNEB,False,11,0,True,0,19,0.04013774,0.16478424200022346,Optimal Solution Found.
OSCIPATH,False,10,0,False,-1,3000,0.9994943,0.6600252670000373,Maximum Number of Iterations Exceeded.
OSLBQP,True,8,0,True,0,14,6.25,0.14817215600032796,Optimal Solution Found.
PALMER1,True,4,0,True,0,392,11754.6,0.2269325629999912,Optimal Solution Found.
PALMER1A,True,6,0,True,0,45,0.08988306,0.1632874429997173,Optimal Solution Found.
PALMER1B,True,4,0,True,0,20,3.447349,0.15659742099978757,Optimal Solution Found.
PALMER1C,False,8,0,True,0,1,0.09760505,0.14568855600009556,Optimal Solution Found.
PALMER1D,False,7,0,True,0,1,0.652674,0.14616574899991974,Optimal Solution Found.
PALMER1E,True,8,0,True,0,43,0.0008353481,0.1632392129999971,Optimal Solution Found.
PALMER2,True,4,0,True,0,902,3651.098,0.31522259099983785,Optimal Solution Found.
PALMER2A,True,6,0,True,0,87,0.01710972,0.16842954100002316,Optimal Solution Found.
PALMER2B,True,4,0,True,0,18,0.6232669,0.1561655260002226,Optimal Solution Found.
PALMER2C,False,8,0,True,0,1,0.01436889,0.14602967599967087,Optimal Solution Found.
PALMER2E,True,8,0,True,0,17,0.0002065044,0.15655577500001527,Optimal Solution Found.
PALMER3,True,4,0,True,0,167,2265.958,0.18391112400013299,Optimal Solution Found.
PALMER3A,True,6,0,True,0,80,0.02043143,0.1684708379998483,Optimal Solution Found.
PALMER3B,True,4,0,True,0,14,4.227647,0.15675149199978478,Optimal Solution Found.
PALMER3C,False,8,0,True,0,1,0.01953764,0.1455363530003524,Optimal Solution Found.
PALMER3E,True,8,0,True,0,29,5.074119e-05,0.1593883900000037,Optimal Solution Found.
PALMER4,True,4,0,True,0,329,2285.383,0.2111458509998556,Optimal Solution Found.
PALMER4A,True,6,0,True,0,56,0.04060614,0.162847174000035,Optimal Solution Found.
PALMER4B,True,4,0,True,0,15,6.835139,0.15616470899976775,Optimal Solution Found.
PALMER4C,False,8,0,True,0,1,0.05031069,0.14642996900010985,Optimal Solution Found.
PALMER4E,True,8,0,True,0,30,0.0001480035,0.1590951270000005,Optimal Solution Found.
PALMER5A,True,8,0,False,-1,3000,0.03884813,0.8134762610002326,Maximum Number of Iterations Exceeded.
PALMER5B,True,9,0,True,0,81,0.009752421,0.16835932100002537,Optimal Solution Found.
PALMER5C,False,6,0,True,0,1,2.128087,0.1455508590001955,Optimal Solution Found.
PALMER5D,False,4,0,True,0,1,87.33939,0.14537276100008967,Optimal Solution Found.
PALMER5E,True,8,0,False,-1,3000,0.02088286,0.7079734479998478,Maximum Number of Iterations Exceeded.
PALMER6A,True,6,0,True,0,123,0.05594885,0.17193207800028176,Optimal Solution Found.
PALMER6C,False,8,0,True,0,1,0.01638744,0.14505190599993512,Optimal Solution Found.
PALMER6E,True,8,0,True,0,30,0.0002239541,0.159289551999791,Optimal Solution Found.
PALMER7A,True,6,0,False,-1,3000,10.33491,0.6648354160001873,Maximum Number of Iterations Exceeded.
PALMER7C,False,8,0,True,0,1,0.6019872,0.14451637199999823,Optimal Solution Found.
PALMER7E,True,8,0,False,-1,3000,6.574223,0.8366729749996011,Maximum Number of Iterations Exceeded.
PALMER8A,True,6,0,True,0,45,0.0740097,0.15942236799992315,Optimal Solution Found.
PALMER8C,False,8,0,True,0,1,0.1597678,0.14530764199980695,Optimal Solution Found.
PALMER8E,True,8,0,True,0,23,0.006339306,0.15709559699962483,Optimal Solution Found.
PARKCH,False,15,0,True,0,17,1623.743,11.289799348000088,Optimal Solution Found.
PENALTY1,False,1000,0,True,0,23,6.439498,2.444112136000058,Optimal Solution Found.
PENALTY2,False,200,0,True,0,10,47116280000000.0,0.18424263399992924,Optimal Solution Found.
PENTDI,True,5000,0,True,0,15,-0.7500176,0.31657740499986176,Optimal Solution Found.
PFIT1LS,True,3,0,True,0,307,9.577731e-16,0.2199325020001197,Optimal Solution Found.
PFIT2LS,True,3,0,True,0,102,1.623231e-16,0.18814327700010836,Optimal Solution Found.
PFIT3LS,True,3,0,True,0,141,2.799655e-15,0.19451689900006386,Optimal Solution Found.
PFIT4LS,True,3,0,True,0,235,4.404745e-16,0.20986645199991472,Optimal Solution Found.
POWELLBC,True,1000,0,False,-13,,0.0,2.7379579449998346,Invalid number in NLP function or derivative detected.
POWELLBSLS,False,2,0,True,0,91,2.562307e-26,0.16891608400010227,Optimal Solution Found.
POWELLSG,False,5000,0,True,0,19,8.332977e-09,0.25313470500032054,Optimal Solution Found.
PROBPENL,True,500,0,True,0,5,3.98101e-07,0.2571112380001068,Optimal Solution Found.
PSPDOC,True,4,0,True,0,7,2.414214,0.15469339899982515,Optimal Solution Found.
QR3DLS,True,610,0,True,0,203,5.515677e-16,7.769842421000249,Optimal Solution Found.
QRTQUAD,True,5000,0,True,0,376,-264856700000.0,1.111960525000086,Optimal Solution Found.
QUARTC,False,5000,0,True,0,23,39.35732,0.23624536699981036,Optimal Solution Found.
QUDLIN,True,5000,0,True,0,28,-1250000000.0,0.24051767999981166,Optimal Solution Found.
RAT42LS,False,3,0,True,0,28,8.056523,0.15978006000023015,Optimal Solution Found.
RAT43LS,False,4,0,True,0,34,8786.405,0.16532983300021442,Optimal Solution Found.
RAYBENDL,True,2050,0,False,-3,36,-2872387000.0,0.2494559560000198,Error in step computation (regularization becomes too large?)!
RAYBENDS,True,2050,0,False,-3,23,-2913347000.0,1.5046038000000408,Error in step computation (regularization becomes too large?)!
ROSENBR,False,2,0,True,0,21,3.743976e-21,0.15523688100029176,Optimal Solution Found.
ROSZMAN1LS,False,4,0,True,0,28,0.0004948485,0.16026224699999148,Optimal Solution Found.
S308,False,2,0,True,0,9,0.7731991,0.1578543499999796,Optimal Solution Found.
S368,True,8,0,True,0,11,-0.75,0.15483210000002146,Optimal Solution Found.
SANTALS,True,21,0,True,0,33,1.224358e-05,0.17430607000005693,Optimal Solution Found.
SBRYBND,False,5000,0,True,0,13,1.173534e-20,0.6049110990002191,Optimal Solution Found.
SCHMVETT,False,5000,0,True,0,3,-14994.0,0.3535360480000236,Optimal Solution Found.
SCOSINE,False,5000,0,True,0,129,-4999.0,0.9828309520003131,Optimal Solution Found.
SENSORS,False,100,0,True,0,36,-1987.875,0.5791958990002968,Optimal Solution Found.
SIM2BQP,True,2,0,True,0,7,-7.471066e-09,0.14814903900014542,Optimal Solution Found.
SIMBQP,True,2,0,True,0,7,-7.421861e-09,0.1463088069999685,Optimal Solution Found.
SINEALI,True,1000,0,True,0,26,-99900.96,0.19538137600011396,Optimal Solution Found.
SINEVAL,False,2,0,True,0,42,5.787363e-43,0.15858427900002425,Optimal Solution Found.
SINQUAD,False,5000,0,True,0,34,-6757014.0,0.5642772040000636,Optimal Solution Found.
SISSER,False,2,0,True,0,18,6.331104e-13,0.15530950900028984,Optimal Solution Found.
SNAIL,False,2,0,True,0,63,1.472743e-28,0.16680477599993537,Optimal Solution Found.
SPARSINE,False,5000,0,True,0,15,1.295293e-07,142.3671900889999,Optimal Solution Found.
SPECAN,True,9,0,True,0,10,2.306852e-13,1.073930105999807,Optimal Solution Found.
SPMSRTLS,False,4999,0,True,0,22,1.855581e-15,0.5764782909996029,Optimal Solution Found.
SROSENBR,False,5000,0,True,0,8,3.301788e-22,0.2600274269998408,Optimal Solution Found.
SSBRYBND,False,5000,0,True,0,26,7.710062e-13,0.7158686010002384,Optimal Solution Found.
SSCOSINE,False,5000,0,True,0,71,-4999.0,0.6485655470000893,Optimal Solution Found.
SSI,False,3,0,False,-1,3000,1.385069e-09,0.6444463329999053,Maximum Number of Iterations Exceeded.
STRATEC,False,10,0,True,0,24,2212.262,6.706574015000115,Optimal Solution Found.
TESTQUAD,False,5000,0,True,0,1,0.0,0.21010502499984796,Optimal Solution Found.
THURBERLS,False,7,0,True,0,19,5642.708,0.1653446810000787,Optimal Solution Found.
TOINTGOR,False,50,0,True,0,7,1373.905,0.1530697949997375,Optimal Solution Found.
TOINTGSS,False,5000,0,True,0,1,10.0,0.264889519999997,Optimal Solution Found.
TOINTPSP,False,50,0,True,0,20,225.5604,0.15369865499997104,Optimal Solution Found.
TOINTQOR,False,50,0,True,0,1,1175.472,0.14695364499993957,Optimal Solution Found.
TQUARTIC,False,5000,0,True,0,1,1.804881e-22,0.30022890500003996,Optimal Solution Found.
TRIDIA,False,5000,0,True,0,1,6.345166e-25,0.22618187999978545,Optimal Solution Found.
VARDIM,False,200,0,True,0,27,1.74342e-06,0.20082267799989495,Optimal Solution Found.
VAREIGVL,False,50,0,True,0,13,1.155963e-19,0.15882903400006398,Optimal Solution Found.
VESUVIALS,False,8,0,True,0,48,991.41,0.2680928340000719,Optimal Solution Found.
VESUVIOLS,False,8,0,True,0,10,991.41,0.22387772599995515,Optimal Solution Found.
VESUVIOULS,False,8,0,True,0,8,0.4771138,0.21291024699985428,Optimal Solution Found.
VIBRBEAM,False,8,0,True,0,58,0.3322376,0.177390245999959,Optimal Solution Found.
WALL10,True,1461,0,True,0,32,-455953.8,0.34636819199977253,Optimal Solution Found.
WATSON,False,12,0,True,0,21,2.131709e-09,0.1833178069996393,Optimal Solution Found.
